S2,S1,S0,ON,CONT,LOGIN,PB2,PB1,,F2,F1,F0
0,0,0,0,0,0,0,0,,0,0,0
0,0,0,0,0,0,0,1,,0,0,0
0,0,0,0,0,0,1,0,,0,0,0
0,0,0,0,0,0,1,1,,0,0,0
0,0,0,0,0,1,0,0,,0,0,0
0,0,0,0,0,1,0,1,,0,0,0
0,0,0,0,0,1,1,0,,0,0,0
0,0,0,0,0,1,1,1,,0,0,0
0,0,0,0,1,0,0,0,,0,0,0
0,0,0,0,1,0,0,1,,0,0,0
0,0,0,0,1,0,1,0,,0,0,0
0,0,0,0,1,0,1,1,,0,0,0
0,0,0,0,1,1,0,0,,0,0,0
0,0,0,0,1,1,0,1,,0,0,0
0,0,0,0,1,1,1,0,,0,0,0
0,0,0,0,1,1,1,1,,0,0,0
0,0,0,1,0,0,0,0,,0,0,0
0,0,0,1,0,0,0,1,,0,0,0
0,0,0,1,0,0,1,0,,0,0,0
0,0,0,1,0,0,1,1,,0,0,0
0,0,0,1,0,1,0,0,,0,0,0
0,0,0,1,0,1,0,1,,0,0,0
0,0,0,1,0,1,1,0,,0,0,0
0,0,0,1,0,1,1,1,,0,0,0
0,0,0,1,1,0,0,0,,0,0,1
0,0,0,1,1,0,0,1,,0,0,1
0,0,0,1,1,0,1,0,,0,0,1
0,0,0,1,1,0,1,1,,0,0,1
0,0,0,1,1,1,0,0,,0,0,1
0,0,0,1,1,1,0,1,,0,0,1
0,0,0,1,1,1,1,0,,0,0,1
0,0,0,1,1,1,1,1,,0,0,1
0,0,1,0,0,0,0,0,,0,0,1
0,0,1,0,0,0,0,1,,0,0,0
0,0,1,0,0,0,1,0,,0,0,0
0,0,1,0,0,0,1,1,,0,0,0
0,0,1,0,0,1,0,0,,0,0,0
0,0,1,0,0,1,0,1,,0,0,0
0,0,1,0,0,1,1,0,,0,0,0
0,0,1,0,0,1,1,1,,0,0,0
0,0,1,0,1,0,0,0,,0,0,0
0,0,1,0,1,0,0,1,,0,0,0
0,0,1,0,1,0,1,0,,0,0,0
0,0,1,0,1,0,1,1,,0,0,0
